Year	Month	Day	Pandoh_inflow_cfs
2014	10	6	5166
2014	10	7	5311
2014	10	8	4797
2014	10	9	4628
2014	10	10	4188
2014	10	11	3560
2014	10	12	3403
2014	10	13	3320
2014	10	14	3213
2014	10	15	3391
2014	10	16	3409
2014	10	17	2985
2014	10	18	3000
2014	10	19	3353
2014	10	20	2754
2014	10	21	2814
2014	10	22	2834
2014	10	23	3039
2014	10	24	2840
2014	10	25	2600
2014	10	26	2881
2014	10	27	2846
2014	10	28	2922
2014	10	29	2652
2014	10	30	2723
2014	10	31	2664
2014	11	1	2303
2014	11	2	2421
2014	11	3	2644
2014	11	4	2482
2014	11	5	2441
2014	11	6	2386
2014	11	7	2326
2014	11	8	2666
2014	11	9	2234
2014	11	10	2198
2014	11	11	2369
2014	11	12	2181
2014	11	13	2108
2014	11	14	2122
2014	11	15	2171
2014	11	16	2171
2014	11	17	2171
2014	11	18	2057
2014	11	19	2089
2014	11	20	2447
2014	11	21	2276
2014	11	22	1913
2014	11	23	2033
2014	11	24	2020
2014	11	25	2036
2014	11	26	1946
2014	11	27	1983
2014	11	28	1945
2014	11	29	1913
2014	11	30	1878
2014	12	1	1865
2014	12	2	2013
2014	12	3	1833
2014	12	4	1729
2014	12	5	1795
2014	12	6	1858
2014	12	7	2007
2014	12	8	1741
2014	12	9	1803
2014	12	10	1818
2014	12	11	1930
2014	12	12	1772
2014	12	13	1789
2014	12	14	1929
2014	12	15	2421
2014	12	16	2048
2014	12	17	1705
2014	12	18	1971
2014	12	19	1960
2014	12	20	2016
2014	12	21	1987
2014	12	22	1779
2014	12	23	1921
2014	12	24	1757
2014	12	25	2136
2014	12	26	1763
2014	12	27	1776
2014	12	28	1656
2014	12	29	1779
2014	12	30	1746
2014	12	31	1754
2015	1	1	1568
2015	1	2	1650
2015	1	3	1722
2015	1	4	1921
2015	1	5	1976
2015	1	6	1733
2015	1	7	1751
2015	1	8	1821
2015	1	9	1614
2015	1	10	1934
2015	1	11	1671
2015	1	12	1658
2015	1	13	1668
2015	1	14	1722
2015	1	15	2010
2015	1	16	1804
2015	1	17	1860
2015	1	18	1663
2015	1	19	1709
2015	1	20	1597
2015	1	21	1715
2015	1	22	1664
2015	1	23	1914
2015	1	24	2217
2015	1	25	1943
2015	1	26	1797
2015	1	27	1534
2015	1	28	1925
2015	1	29	2061
2015	1	30	1324
2015	1	31	1482
2015	2	1	1484
2015	2	2	1214
2015	2	3	1895
2015	2	4	2359
2015	2	5	1811
2015	2	6	1881
2015	2	7	2043
2015	2	8	1560
2015	2	9	1744
2015	2	10	1701
2015	2	11	1639
2015	2	12	1787
2015	2	13	1645
2015	2	14	1778
2015	2	15	1815
2015	2	16	1899
2015	2	17	2317
2015	2	18	2674
2015	2	19	2461
2015	2	20	2992
2015	2	21	6063
2015	2	22	4858
2015	2	23	3934
2015	2	24	4082
2015	2	25	3970
2015	2	26	8394
2015	2	27	6478
2015	2	28	3952
2015	3	1	3484
2015	3	2	3484
2015	3	3	8626
2015	3	4	5510
2015	3	5	4381
2015	3	6	3995
2015	3	7	3599
2015	3	8	3470
2015	3	9	3530
2015	3	10	3981
2015	3	11	3645
2015	3	12	3727
2015	3	13	3871
2015	3	14	3278
2015	3	15	3263
2015	3	16	3696
2015	3	17	3977
2015	3	18	3793
2015	3	19	3539
2015	3	20	3509
2015	3	21	3584
2015	3	22	3779
2015	3	23	4215
2015	3	24	4958
2015	3	25	5638
2015	3	26	6149
2015	3	27	6659
2015	3	28	6403
2015	3	29	6481
2015	3	30	8124
2015	3	31	9347
2015	4	1	7263
2015	4	2	6090
2015	4	3	7191
2015	4	4	10266
2015	4	5	9180
2015	4	6	7331
2015	4	7	5937
2015	4	8	5665
2015	4	9	5984
2015	4	10	5630
2015	4	11	5921
2015	4	12	6113
2015	4	13	5893
2015	4	14	6056
2015	4	15	7021
2015	4	16	7554
2015	4	17	8186
2015	4	18	7263
2015	4	19	6831
2015	4	20	7535
2015	4	21	8590
2015	4	22	10675
2015	4	23	9824
2015	4	24	9882
2015	4	25	10406
2015	4	26	10622
2015	4	27	10435
2015	4	28	11951
2015	4	29	11477
2015	4	30	9584
2015	5	1	9746
2015	5	2	8416
2015	5	3	8035
2015	5	4	7896
2015	5	5	8154
2015	5	6	9579
2015	5	7	11316
2015	5	8	12719
2015	5	9	13876
2015	5	10	13720
2015	5	11	12904
2015	5	12	13088
2015	5	13	12504
2015	5	14	11622
2015	5	15	11283
2015	5	16	9383
2015	5	17	9343
2015	5	18	11334
2015	5	19	12560
2015	5	20	12778
2015	5	21	12574
2015	5	22	11612
2015	5	23	12415
2015	5	24	12196
2015	5	25	11662
2015	5	26	11276
2015	5	27	9904
2015	5	28	8979
2015	5	29	9013
2015	5	30	10781
2015	5	31	10502
2015	6	1	9079
2015	6	2	8115
2015	6	3	6884
2015	6	4	6559
2015	6	5	6487
2015	6	6	7499
2015	6	7	7549
2015	6	8	8384
2015	6	9	9712
2015	6	10	9909
2015	6	11	11282
2015	6	12	12121
2015	6	13	9909
2015	6	14	9732
2015	6	15	9873
2015	6	16	8737
2015	6	17	8165
2015	6	18	9389
2015	6	19	12761
2015	6	20	17181
2015	6	21	18393
2015	6	22	19185
2015	6	23	16373
2015	6	24	15596
2015	6	25	17527
2015	6	26	19848
2015	6	27	13513
2015	6	28	12365
2015	6	29	13444
2015	6	30	14741
2015	7	1	12581
2015	7	2	14601
2015	7	3	14057
2015	7	4	16011
2015	7	5	18801
2015	7	6	24137
2015	7	7	25408
2015	7	8	20971
2015	7	9	23945
2015	7	10	27772
2015	7	11	36389
2015	7	12	30641
2015	7	13	31168
2015	7	14	29500
2015	7	15	26975
2015	7	16	27945
2015	7	17	30821
2015	7	18	31129
2015	7	19	24007
2015	7	20	27789
2015	7	21	27719
2015	7	22	28722
2015	7	23	28627
2015	7	24	32389
2015	7	25	32222
2015	7	26	28753
2015	7	27	36138
2015	7	28	28847
2015	7	29	24743
2015	7	30	24513
2015	7	31	23719
2015	8	1	22998
2015	8	2	27528
2015	8	3	24435
2015	8	4	26948
2015	8	5	25211
2015	8	6	24796
2015	8	7	24182
2015	8	8	23565
2015	8	9	29983
2015	8	10	26696
2015	8	11	36915
2015	8	12	29216
2015	8	13	33461
2015	8	14	28679
2015	8	15	31066
2015	8	16	28184
2015	8	17	26415
2015	8	18	22198
2015	8	19	20727
2015	8	20	20127
2015	8	21	19527
2015	8	22	18514
2015	8	23	15439
2015	8	24	13599
2015	8	25	13447
2015	8	26	12970
2015	8	27	12532
2015	8	28	13630
2015	8	29	14415
2015	8	30	13235
2015	8	31	13539
2015	9	1	11693
2015	9	2	11720
2015	9	3	10736
2015	9	4	10335
2015	9	5	10027
2015	9	6	9820
2015	9	7	9430
2015	9	8	8477
2015	9	9	8157
2015	9	10	8140
2015	9	11	8501
2015	9	12	8556
2015	9	13	9059
2015	9	14	8936
2015	9	15	9156
2015	9	16	8886
2015	9	17	8323
2015	9	18	7067
2015	9	19	6543
2015	9	20	6677
2015	9	21	8242
2015	9	22	6535
2015	9	23	9822
2015	9	24	13964
2015	9	25	8437
2015	9	26	7114
2015	9	27	6321
2015	9	28	6143
2015	9	29	5314
2015	9	30	4982
2015	10	1	4762
2015	10	2	4248
2015	10	3	4361
2015	10	4	4677
2015	10	5	4222
2015	10	6	4160
2015	10	7	4113
2015	10	8	3708
2015	10	9	3877
2015	10	10	3957
2015	10	11	3902
2015	10	12	3883
2015	10	13	4083
2015	10	14	3793
2015	10	15	4492
2015	10	16	3357
2015	10	17	3687
2015	10	18	3606
2015	10	19	3446
2015	10	20	3718
2015	10	21	3406
2015	10	22	3201
2015	10	23	3283
2015	10	24	3131
2015	10	25	3281
2015	10	26	3068
2015	10	27	3188
2015	10	28	2917
2015	10	29	2845
2015	10	30	2907
2015	10	31	2805
2015	11	1	2855
2015	11	2	2731
2015	11	3	2885
2015	11	4	3134
2015	11	5	2640
2015	11	6	2642
2015	11	7	2448
2015	11	8	2833
2015	11	9	2753
2015	11	10	2822
2015	11	11	2644
2015	11	12	2603
2015	11	13	3135
2015	11	14	2373
2015	11	15	2684
2015	11	16	2219
2015	11	17	2707
2015	11	18	2140
2015	11	19	2205
2015	11	20	2464
2015	11	21	2397
2015	11	22	2207
2015	11	23	2277
2015	11	24	2271
2015	11	25	2212
2015	11	26	2381
2015	11	27	2316
2015	11	28	2381
2015	11	29	2287
2015	11	30	2246
2015	12	1	2074
2015	12	2	2007
2015	12	3	2029
2015	12	4	2080
2015	12	5	2340
2015	12	6	1977
2015	12	7	1977
2015	12	8	2101
2015	12	9	1824
2015	12	10	1961
2015	12	11	2077
2015	12	12	2694
2015	12	13	2221
2015	12	14	2337
2015	12	15	2308
2015	12	16	2301
2015	12	17	2024
2015	12	18	2061
2015	12	19	2028
2015	12	20	2044
2015	12	21	1896
2015	12	22	1967
2015	12	23	1969
2015	12	24	2049
2015	12	25	1929
2015	12	26	1944
2015	12	27	1897
2015	12	28	1920
2015	12	29	1961
2015	12	30	1940
2015	12	31	1810
2016	1	1	1813
2016	1	2	1954
2016	1	3	1814
2016	1	4	1518
2016	1	5	1907
2016	1	6	1930
2016	1	7	1856
2016	1	8	1794
2016	1	9	1983
2016	1	10	1590
2016	1	11	1764
2016	1	12	1741
2016	1	13	1940
2016	1	14	1588
2016	1	15	1820
2016	1	16	1832
2016	1	17	1632
2016	1	18	1657
2016	1	19	1645
2016	1	20	1686
2016	1	21	1589
2016	1	22	1759
2016	1	23	1778
2016	1	24	1604
2016	1	25	1653
2016	1	26	1542
2016	1	27	1731
2016	1	28	1631
2016	1	29	1453
2016	1	30	1657
2016	1	31	1806
2016	2	1	1546
2016	2	2	1538
2016	2	3	1514
2016	2	4	1347
2016	2	5	1477
2016	2	6	1391
2016	2	7	1501
2016	2	8	1762
2016	2	9	1520
2016	2	10	1459
2016	2	11	1338
2016	2	12	1329
2016	2	13	1177
2016	2	14	1399
2016	2	15	1345
2016	2	16	1330
2016	2	17	1373
2016	2	18	1470
2016	2	19	1609
2016	2	20	1685
2016	2	21	3453
2016	2	22	2324
2016	2	23	2097
2016	2	24	1915
2016	2	25	1843
2016	2	26	1805
2016	2	27	1838
2016	2	28	1828
2016	2	29	1742
2016	3	1	1798
2016	3	2	1798
2016	3	3	1642
2016	3	4	1790
2016	3	5	1682
2016	3	6	1984
2016	3	7	1878
2016	3	8	2044
2016	3	9	2064
2016	3	10	1732
2016	3	11	1804
2016	3	12	2105
2016	3	13	5497
2016	3	14	4403
2016	3	15	3171
2016	3	16	2522
2016	3	17	2413
2016	3	18	2746
2016	3	19	5696
2016	3	20	4154
2016	3	21	3376
2016	3	22	3004
2016	3	23	2852
2016	3	24	2988
2016	3	25	2986
2016	3	26	3246
2016	3	27	3988
2016	3	28	3213
2016	3	29	3100
2016	3	30	3282
2016	3	31	3283
2016	4	1	3268
2016	4	2	3917
2016	4	3	4726
2016	4	4	4733
2016	4	5	4875
2016	4	6	3908
2016	4	7	3879
2016	4	8	3988
2016	4	9	3290
2016	4	10	2988
2016	4	11	2849
2016	4	12	3383
2016	4	13	2788
2016	4	14	3047
2016	4	15	3451
2016	4	16	3577
2016	4	17	4353
2016	4	18	4960
2016	4	19	7790
2016	4	20	4996
2016	4	21	5787
2016	4	22	4980
2016	4	23	5290
2016	4	24	4445
2016	4	25	3483
2016	4	26	3706
2016	4	27	3637
2016	4	28	3669
2016	4	29	4085
2016	4	30	3918
2016	5	1	4787
2016	5	2	6232
2016	5	3	6859
2016	5	4	7211
2016	5	5	4967
2016	5	6	5083
2016	5	7	5383
2016	5	8	3477
2016	5	9	7289
2016	5	10	8909
2016	5	11	8866
2016	5	12	8732
2016	5	13	6799
2016	5	14	6831
2016	5	15	7295
2016	5	16	7337
2016	5	17	6884
2016	5	18	8113
2016	5	19	9728
2016	5	20	10925
2016	5	21	11803
2016	5	22	12556
2016	5	23	13729
2016	5	24	11489
2016	5	25	8984
2016	5	26	6628
2016	5	27	6094
2016	5	28	7199
2016	5	29	7071
2016	5	30	6459
2016	5	31	6221
2016	6	1	6560
2016	6	2	8448
2016	6	3	9244
2016	6	4	9388
2016	6	5	10035
2016	6	6	11465
2016	6	7	10384
2016	6	8	8802
2016	6	9	8835
2016	6	10	9199
2016	6	11	10185
2016	6	12	10595
2016	6	13	11240
2016	6	14	10532
2016	6	15	13118
2016	6	16	16962
2016	6	17	18702
2016	6	18	16659
2016	6	19	16554
2016	6	20	16557
2016	6	21	16268
2016	6	22	15298
2016	6	23	16634
2016	6	24	15877
2016	6	25	15594
2016	6	26	15681
2016	6	27	15929
2016	6	28	16433
2016	6	29	15700
2016	6	30	16312
2016	7	1	18176
2016	7	2	18962
2016	7	3	15273
2016	7	4	18441
2016	7	5	19077
2016	7	6	16807
2016	7	7	15058
2016	7	8	15823
2016	7	9	12436
2016	7	10	14142
2016	7	11	14156
2016	7	12	16900
2016	7	13	19142
2016	7	14	18367
2016	7	15	20603
2016	7	16	20474
2016	7	17	23064
2016	7	18	20282
2016	7	19	17631
2016	7	20	16353
2016	7	21	15789
2016	7	22	15165
2016	7	23	15401
2016	7	24	12990
2016	7	25	11599
2016	7	26	13412
2016	7	27	14855
2016	7	28	23666
2016	7	29	18033
2016	7	30	17547
2016	7	31	17822
2016	8	1	18089
2016	8	2	21199
2016	8	3	36319
2016	8	4	40644
2016	8	5	29965
2016	8	6	25669
2016	8	7	37691
2016	8	8	30788
2016	8	9	35458
2016	8	10	36006
2016	8	11	28367
2016	8	12	33829
2016	8	13	29261
2016	8	14	26432
2016	8	15	23156
2016	8	16	21315
2016	8	17	19606
2016	8	18	17277
2016	8	19	19872
2016	8	20	17107
2016	8	21	16052
2016	8	22	15659
2016	8	23	18041
2016	8	24	19981
2016	8	25	20851
2016	8	26	22660
2016	8	27	19703
2016	8	28	34678
2016	8	29	21299
2016	8	30	17352
2016	8	31	18987
2016	9	1	18522
2016	9	2	18150
2016	9	3	22054
2016	9	4	17123
2016	9	5	14626
2016	9	6	13487
2016	9	7	13153
2016	9	8	11968
2016	9	9	11773
2016	9	10	12108
2016	9	11	11944
2016	9	12	11906
2016	9	13	10908
2016	9	14	10161
2016	9	15	9919
2016	9	16	9490
2016	9	17	9328
2016	9	18	9091
2016	9	19	8744
2016	9	20	8926
2016	9	21	9445
2016	9	22	9387
2016	9	23	8586
2016	9	24	7174
2016	9	25	6251
2016	9	26	5869
2016	9	27	5865
2016	9	28	6089
2016	9	29	6260
2016	9	30	6677
2016	10	1	6495
2016	10	2	7493
2016	10	3	7414
2016	10	4	6739
2016	10	5	6679
2016	10	6	5786
2016	10	7	5447
2016	10	8	4863
2016	10	9	4756
2016	10	10	4425
2016	10	11	3801
2016	10	12	3831
2016	10	13	3630
2016	10	14	3423
2016	10	15	3303
2016	10	16	3615
2016	10	17	3396
2016	10	18	3688
2016	10	19	3319
2016	10	20	3590
2016	10	21	3414
2016	10	22	3394
2016	10	23	3100
2016	10	24	3251
2016	10	25	3358
2016	10	26	3182
2016	10	27	3224
2016	10	28	3006
2016	10	29	2738
2016	10	30	2988
2016	10	31	2736
2016	11	1	2833
2016	11	2	2763
2016	11	3	2650
2016	11	4	2729
2016	11	5	2435
2016	11	6	2711
2016	11	7	2312
2016	11	8	2531
2016	11	9	2383
2016	11	10	2263
2016	11	11	2212
2016	11	12	2390
2016	11	13	2376
2016	11	14	2297
2016	11	15	2199
2016	11	16	2145
2016	11	17	2081
2016	11	18	2240
2016	11	19	2198
2016	11	20	2021
2016	11	21	2201
2016	11	22	2112
2016	11	23	2036
2016	11	24	1972
2016	11	25	1859
2016	11	26	1981
2016	11	27	2291
2016	11	28	1781
2016	11	29	2128
2016	11	30	1747
2016	12	1	2062
2016	12	2	1875
2016	12	3	1983
2016	12	4	1737
2016	12	5	1785
2016	12	6	2012
2016	12	7	1846
2016	12	8	1817
2016	12	9	2055
2016	12	10	1797
2016	12	11	1695
2016	12	12	1862
2016	12	13	1849
2016	12	14	1584
2016	12	15	1748
2016	12	16	1814
2016	12	17	1752
2016	12	18	1706
2016	12	19	1608
2016	12	20	1579
2016	12	21	1555
2016	12	22	1782
2016	12	23	1570
2016	12	24	1647
2016	12	25	1642
2016	12	26	1828
2016	12	27	1731
2016	12	28	1445
2016	12	29	1671
2016	12	30	1538
2016	12	31	1602
2017	1	1	1615
2017	1	2	1608
2017	1	3	1513
2017	1	4	1163
2017	1	5	1601
2017	1	6	1675
2017	1	7	1665
2017	1	8	1860
2017	1	9	1670
2017	1	10	1554
2017	1	11	1610
2017	1	12	1652
2017	1	13	1320
2017	1	14	1512
2017	1	15	1588
2017	1	16	1581
2017	1	17	1669
2017	1	18	1745
2017	1	19	1372
2017	1	20	1503
2017	1	21	1697
2017	1	22	1409
2017	1	23	1629
2017	1	24	1706
2017	1	25	1748
2017	1	26	1905
2017	1	27	3079
2017	1	28	2481
2017	1	29	1813
2017	1	30	1822
2017	1	31	1783
2017	2	1	2016
2017	2	2	1916
2017	2	3	1762
2017	2	4	1727
2017	2	5	1862
2017	2	6	1776
2017	2	7	2337
2017	2	8	1908
2017	2	9	1653
2017	2	10	1757
2017	2	11	1714
2017	2	12	1593
2017	2	13	1753
2017	2	14	1764
2017	2	15	1798
2017	2	16	1835
2017	2	17	1805
2017	2	18	1971
2017	2	19	1955
2017	2	20	2556
2017	2	21	2601
2017	2	22	2988
2017	2	23	2189
2017	2	24	2015
2017	2	25	1915
2017	2	26	1997
2017	2	27	1853
2017	2	28	2059
2017	3	1	1987
2017	3	2	1824
2017	3	3	1787
2017	3	4	1771
2017	3	5	1609
2017	3	6	1706
2017	3	7	1625
2017	3	8	1581
2017	3	9	2226
2017	3	10	2229
2017	3	11	2085
2017	3	12	1859
2017	3	13	2127
2017	3	14	1564
2017	3	15	1904
2017	3	16	1852
2017	3	17	2089
2017	3	18	2581
2017	3	19	2189
2017	3	20	2325
2017	3	21	2247
2017	3	22	2322
2017	3	23	2334
2017	3	24	3151
2017	3	25	3127
2017	3	26	3090
2017	3	27	3450
2017	3	28	4154
2017	3	29	4412
2017	3	30	4042
2017	3	31	4300
2017	4	1	4610
2017	4	2	4449
2017	4	3	3607
2017	4	4	3711
2017	4	5	3756
2017	4	6	5545
2017	4	7	7952
